id,Title,authorFirst,authorLast,Price,Avail,Cover,Condition,ImageURL,Tags,createdAt,updatedAt
79,Slow Sex,Nicole,Daedone,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/41EB1iMAfvL.jpg,sex,6/2/2019 21:12,6/2/2019 21:12
80,Riveted,Jim,Davies,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/41qF2ecxHLL.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
81,Wheat Belly,William,Davis,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/915HLo6TP7L.jpg,health,6/2/2019 21:12,6/2/2019 21:12
82,The Selfish Gene,Richard,Dawkins,5,0,soft,,https://images.gr-assets.com/books/1366758096l/61535.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
83,Teaching Thinking,Edward,De Bono,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51K11B46BRL._SX301_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
84,The Way of the Superior Man,David,Deida,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51uaApZ9oxL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
85,Bold,Peter,Diamandis,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/51nkVaXEUSL._SX326_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
86,What Makes Your Brain happy and Why You Should Do the Opposite,David,DiSalvo,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51tOUsiMHvL._AC_SY400_.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
87,The Way of the Seal,Mark,Divine,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/91oEMJ6VcfL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
88,The Economics Book,DK Publishing,,8,0,hard,,https://images-na.ssl-images-amazon.com/images/I/91mBf93RgkL.jpg,"business, money",6/2/2019 21:12,6/2/2019 21:12
89,The Psychology Book,DK Publishing,,8,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/61roQVDsneL._SX258_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
90,Managing Oneself,Peter,Drucker,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51CtzJSCz8L._SX344_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
91,Freakonomics,Stephen,Dubner,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51gYI2oq6KL._SX328_BO1,204,203,200_.jpg","business, money",6/2/2019 21:12,6/2/2019 21:12
92,The Power of Habit,Charles,Duhigg,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/819ZixpQzUL.jpg,"psychology, selfhelp",6/2/2019 21:12,6/2/2019 21:12
93,"Smarter, Faster, Better",Charles,Duhigg,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51B2dMwPJ5L.jpg,"psychology, selfhelp",6/2/2019 21:12,6/2/2019 21:12
94,The Greatest Minds and Ideas of All Time,William,Durant,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/51yKACO8adL.jpg,"philosophy, history",6/2/2019 21:12,6/2/2019 21:12
95,Mindset,Carol,Dweck,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/417LU0cphCL._SX316_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
96,The Power of Intention,Wayne,Dyer,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51Rd7IR3fsL._SX329_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
97,Incognito,David,Eagleman,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41LyhPGxl9L._SX322_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
98,Secrets of the Millionaire Mind,T. Harv,Eker,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81vYGLy7JPL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
99,The Sell,Fredik,Eklund,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51MvSr57QXL._SX330_BO1,204,203,200_.jpg","selling, biography",6/2/2019 21:12,6/2/2019 21:12
100,How Not to be Wrong,Jordan,Ellenberg,5,1,,,https://images-na.ssl-images-amazon.com/images/I/81HKXp4F6bL.jpg,psychology,6/2/2019 21:12,6/2/2019 21:12
101,The Power of Eye Contact,Michael,Ellsberg,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51i7SeUV%2BYL._SX330_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
102,The Education of Millionaires,Michael,Ellsberg,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/81xrTTYh7nL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
103,Miracle Morning,Hal,Elrod,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41GPIof19sL._SX320_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
104,The Miracle Morning for RE Agents,Hal,Elrod,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51flHz1c7ML._SX322_BO1,204,203,200_.jpg","real estate, selfhelp",6/2/2019 21:12,6/2/2019 21:12
105,Mindwise,Nicholas,Epley,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/41SBUgapWpL._SX322_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
106,Alibaba's World,Porter,Erisman,5,0,soft,,https://images-na.ssl-images-amazon.com/images/I/51GGGvmuaVL.jpg,business,6/2/2019 21:12,6/2/2019 21:12
107,Controlling People,Patricia,Evans,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51ohSJzNKKL._SX336_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
108,Hooked,Nir,Eyal,5,1,,,https://images-na.ssl-images-amazon.com/images/I/71iTueU1pBL.jpg,"psychology, selfhelp",6/2/2019 21:12,6/2/2019 21:12
109,Engineer Your Own Success,Anthony,Fasano,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51HXJjpf-ML._SX310_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
110,Job + Real Estate = Wealth,Francis,Fernando,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41VYgmtO8gL._SX326_BO1,204,203,200_.jpg","real estate, money, selfhelp",6/2/2019 21:12,6/2/2019 21:12
111,Who's Got Your Back,Keith,Ferrazzi,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/812%2BEpSKyPL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
112,Never Eat Alone,Keith,Ferrazzi,5,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81qODNqTJ5L.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
113,The 4-Hour Body,Tim,Ferris,8,0,hard,,https://images-na.ssl-images-amazon.com/images/I/714lEQaBT7L.jpg,"health, selfhelp",6/2/2019 21:12,6/2/2019 21:12
114,The 4-Hour Work Week,Tim,Ferris,8,0,hard,,https://images-na.ssl-images-amazon.com/images/I/81qW97ndkvL.jpg,selfhelp,6/2/2019 21:12,6/2/2019 21:12
115,Tools of Titans,Tim,Ferris,8,0,hard,,https://images-na.ssl-images-amazon.com/images/I/71ljsFrHSwL.jpg,"business, selfhelp",6/2/2019 21:12,6/2/2019 21:12
116,How to Develop a Six Figure Income in Real Estate,Mike,Ferry,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/51TME6nnw3L._SX325_BO1,204,203,200_.jpg","real estate, selfhelp, money",6/2/2019 21:12,6/2/2019 21:12
117,Delusions of Gender,Cordelia,Fine,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41Z7CC33yiL._SX329_BO1,204,203,200_.jpg",psychology,6/2/2019 21:12,6/2/2019 21:12
118,Beat the Crowd,Kenneth,Fisher,5,0,hard,,"https://images-na.ssl-images-amazon.com/images/I/510HuYZCLAL._SX333_BO1,204,203,200_.jpg",selfhelp,6/2/2019 21:12,6/2/2019 21:12
119,Diet Cults,Matt,Fitzgerald,5,0,soft,,"https://images-na.ssl-images-amazon.com/images/I/41D%2BfOdH59L._SX331_BO1,204,203,200_.jpg",health,6/2/2019 21:12,6/2/2019 21:12
